Type,Root Function Name,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"Callee","main","String::~String",2,0.04,0.04,0.00,0.00,"ConsoleApplication2.exe",
"Callee","main","String::append",7,0.16,0.09,0.00,0.00,"ConsoleApplication2.exe",
"Callee","main","String::print",4,26.29,0.04,0.30,0.00,"ConsoleApplication2.exe",
"Callee","main","String::String",1,0.13,0.10,0.01,0.00,"ConsoleApplication2.exe",
"Callee","main","String::String",1,0.01,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Root","mainCRTStartup","mainCRTStartup",1,100.00,1.89,4.54,0.09,"ConsoleApplication2.exe",
"Callee","mainCRTStartup","__security_init_cookie",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Callee","mainCRTStartup","__tmainCRTStartup",1,98.10,0.29,4.45,0.01,"ConsoleApplication2.exe",
"Root","operator new[]","operator new[]",9,0.08,0.08,0.00,0.00,"ConsoleApplication2.exe",
"Caller","operator new[]","String::allocate",1,0.02,0.02,0.00,0.00,"ConsoleApplication2.exe",
"Caller","operator new[]","String::append",7,0.06,0.06,0.00,0.00,"ConsoleApplication2.exe",
"Caller","operator new[]","String::String",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Root","pre_c_init","pre_c_init",1,0.24,0.00,0.01,0.00,"ConsoleApplication2.exe",
"Caller","pre_c_init","__tmainCRTStartup",1,0.24,0.00,0.01,0.00,"ConsoleApplication2.exe",
"Callee","pre_c_init","__set_app_type",1,0.00,0.00,0.00,0.00,"MSVCR120D.dll",
"Callee","pre_c_init","_RTC_Initialize",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Callee","pre_c_init","_setdefaultprecision",1,0.19,0.19,0.01,0.01,"ConsoleApplication2.exe",
"Callee","pre_c_init","check_managed_app",1,0.01,0.01,0.00,0.00,"ConsoleApplication2.exe",
"Callee","pre_c_init","RtlEncodePointer",1,0.04,0.04,0.00,0.00,"ntdll.dll",
